회사명,회사코드,보고서명,보고서코드,항목,factor_id,단위,2017년03월,2017년06월,2017년09월,2017년12월,2018년03월,2018년06월,2018년09월,2018년12월,2019년03월,2019년06월,2019년09월,2019년12월,2020년03월,2020년06월,2020년09월,2020년12월,2021년03월,2021년06월,2021년09월,2021년12월,2022년03월,2022년06월,2022년09월
국민은행,10927,연체율(원화대출금 및 신탁대출금 합계 기준),SDSA040V,총대출채권_연체율,F000002054,%,0.36,0.3,0.28,0.23,0.27,0.25,0.26,0.24,0.28,0.28,0.3,0.25,0.25,0.22,0.2,0.17,0.17,0.15,0.14,0.12,0.13,0.13,0.15
국민은행,10927,여신건전성(대손충당금 적립비율),SDSA042V,대손충당금적립비율:총여신대비,F000002088,%,0.74,0.63,0.61,0.58,0.69,0.65,0.59,0.58,0.56,0.52,0.48,0.48,0.46,0.45,0.45,0.46,0.45,0.45,0.43,0.46,0.46,0.48,0.49
국민은행,10927,여신건전성(대손충당금 적립비율),SDSA042V,대손충당금적립비율:고정이하여신대비,F000002089,%,95.75,91.84,92.73,99.67,117.63,119.55,121.99,122.04,119.84,114.96,117.8,129.83,126.73,134.46,140.39,165.2,156.74,172.75,182.27,225.3,231.17,254.55,252.17
국민은행,10927,여신건전성(여신건전성),SDSA015V,고정이하여신비율,F000001192,%,0.78,0.68,0.66,0.58,0.58,0.54,0.48,0.48,0.47,0.45,0.41,0.37,0.36,0.33,0.32,0.28,0.29,0.26,0.23,0.2,0.2,0.19,0.19
